planning_id,last_update_date,updated_within_year
202957,2026-03-19,yes
203889,,no
203909,2026-03-19,yes
203949,,no
210522,,no
306196,2026-01-24,yes
204532,2026-03-28,yes
204533,2026-02-21,yes
204607,,no
204666,2026-02-14,yes
204768,2026-02-28,yes
205302,2026-03-19,yes
205310,2026-02-14,yes
205586,2026-02-14,yes
205823,,no
306195,,no
206496,2026-02-21,yes
206508,2026-02-28,yes
206509,2026-02-28,yes
206520,,no
206616,2026-03-28,yes
206626,,no
206628,,no
207299,,no
240343,2026-03-10,yes
329477,2026-02-20,yes
208111,2026-02-14,yes
208118,2026-03-19,yes
208122,2026-02-14,yes
208144,2026-03-19,yes
208157,,no
208177,,no
240247,,no
208302,2026-02-28,yes
208330,2026-02-27,yes
208387,,no
260449,,no
247607,2026-02-27,yes
208499,2026-03-19,yes
208500,2026-03-10,yes
208504,2026-03-19,yes
208655,2026-02-28,yes
399613,,no
208874,2026-02-28,yes
208881,2026-03-19,yes
208882,,no
208883,,no
208887,2026-03-19,yes
209496,2026-03-19,yes
209498,,no
209518,,no
209522,,no
209529,,no
209538,2026-03-10,yes
209552,2026-03-19,yes
209563,2026-02-14,yes
209761,,no
209763,,no
209833,2026-02-28,yes
209834,2026-03-28,yes
209835,2026-02-28,yes
209836,,no
209841,2026-03-19,yes
210526,,no
210531,,no
210569,,no
210758,,no
210836,2026-03-19,yes
210937,2026-03-10,yes
210944,,no
399555,2026-03-27,yes
399556,2026-04-03,yes
211397,2026-02-28,yes
211398,,no
211399,2026-03-10,yes
211400,2026-03-10,yes
211402,2026-03-19,yes
211404,2026-02-28,yes
211405,2026-03-19,yes
211406,2026-02-28,yes
211411,2026-03-10,yes
399537,,no
212434,,no
212439,,no
212456,2026-02-28,yes
212461,2026-02-14,yes
212467,,no
212470,2026-03-10,yes
212472,2026-02-28,yes
212490,2026-02-14,yes
212496,2026-02-28,yes
399527,2026-04-03,yes
213378,2026-02-21,yes
213386,,no
214648,,no
214650,2026-03-09,yes
214670,,no
214710,,no
214712,2026-03-19,yes
214728,,no
214729,,no
214760,2026-02-27,yes
215299,,no
215300,,no
215328,2026-02-14,yes
215330,2026-03-28,yes
215333,2026-02-21,yes
215340,,no
215367,,no
215369,2026-03-19,yes
215384,2026-02-27,yes
215421,2026-03-28,yes
216074,,no
216093,,no
216095,,no
216142,2026-02-27,yes
216143,,no
216148,2025-11-18,yes
216155,2026-02-14,yes
216335,2026-03-19,yes
216337,,no
216339,2026-03-19,yes
216360,2026-02-14,yes
216394,,no
216994,,no
217079,2026-03-09,yes
217109,,no
217110,,no
217193,2026-03-09,yes
217509,,no
218251,2026-03-28,yes
218537,,no
218548,2026-02-27,yes
218856,,no
218945,2026-03-28,yes
219641,2026-02-27,yes
219648,2026-02-27,yes
219649,2026-02-14,yes
219666,2026-02-21,yes
219672,2026-03-09,yes
219673,,no
219674,,no
219693,,no
219707,,no
220658,,no
220661,,no
220688,2026-03-09,yes
220696,,no
220834,2026-02-21,yes
221495,2026-03-09,yes
221497,2026-03-09,yes
221524,,no
221538,,no
221652,,no
222504,2026-03-28,yes
222519,2026-02-14,yes
222521,2026-03-28,yes
222525,2026-03-19,yes
222548,2026-02-27,yes
222550,2026-02-21,yes
222551,2026-02-21,yes
222554,2026-03-28,yes
222596,,no
223390,,no
223393,2026-03-09,yes
223395,2026-02-27,yes
223401,2026-02-21,yes
223408,2026-02-14,yes
223409,2026-03-19,yes
223418,,no
223449,2026-02-14,yes
310682,,no
223505,,no
223510,,no
223539,,no
223540,,no
223554,,no
223602,,no
223624,,no
247602,2026-02-21,yes
259361,2026-01-17,yes
224743,2026-02-14,yes
238462,,no
256031,2026-02-21,yes
255230,,no
238465,,no
225499,,no
256016,,no
239479,2026-03-28,yes
225554,2026-02-28,yes
225556,2026-02-28,yes
225602,,no
225603,,no
225607,2026-02-14,yes
225706,,no
225740,2026-03-09,yes
226005,,no
226074,,no
226701,2026-03-28,yes
226736,,no
226744,2026-03-09,yes
226766,,no
226816,2026-02-14,yes
226901,2026-03-19,yes
226907,2026-03-09,yes
227273,2026-03-09,yes
228419,2026-02-28,yes
228476,,no
228493,,no
228512,,no
228644,,no
228648,2026-02-14,yes
228662,,no
228694,,no
229923,,no
229949,2026-03-19,yes
229951,,no
230011,,no
230076,,no
230081,2026-03-09,yes
258377,2025-11-17,yes
230410,,no
231294,2026-02-14,yes
231304,,no
231322,2026-02-28,yes
231367,2026-03-28,yes
231372,2026-03-19,yes
231379,,no
231432,,no
231435,,no
243414,,no
231906,,no
231920,2026-02-28,yes
232054,,no
243376,2026-02-28,yes
255201,,no
232696,2026-03-19,yes
233189,,no
233224,,no
233225,,no
233230,,no
233501,,no
233560,,no
255978,,no
238524,2026-02-28,yes
243292,,no
238497,,no
238451,,no
238455,,no
238452,2026-03-19,yes
234152,2026-03-19,yes
234154,,no
234162,,no
234174,,no
234181,,no
234204,,no
234209,2026-03-09,yes
234502,2026-03-28,yes
234614,,no
255962,,no
234760,,no
234843,,no
234854,,no
234859,2026-02-28,yes
243264,,no
243261,,no
235076,,no
252063,2026-01-17,yes
235107,,no
235110,2026-03-19,yes
235161,,no
243254,2026-02-14,yes
243250,,no
235463,,no
235471,2026-03-09,yes
235890,2026-03-09,yes
235902,2026-02-14,yes
235920,2026-02-28,yes
236031,2026-02-27,yes
236834,,no
236841,,no
236844,,no
258375,,no
258376,2025-11-17,yes
237630,,no
237634,2026-03-28,yes
237639,2026-03-19,yes
237647,2026-02-21,yes
237673,,no
237674,,no
237679,2026-03-09,yes
237753,2026-03-28,yes
255125,,no
255124,,no
240145,,no
238552,2026-03-19,yes
238557,2026-02-14,yes
238641,2026-03-28,yes
238877,2026-02-21,yes
238952,,no
239425,,no
239433,2026-02-28,yes
239434,2026-03-19,yes
240769,2026-02-21,yes
239994,2026-02-14,yes
239971,,no
239969,2026-02-28,yes
239968,2026-03-28,yes
242250,2026-03-19,yes
241612,,no
241572,2026-03-19,yes
241566,,no
241545,,no
241515,2026-03-19,yes
241502,,no
241496,2026-03-28,yes
252003,2026-03-28,yes
241659,2026-03-19,yes
241666,2026-02-28,yes
260362,2026-02-21,yes
241740,2026-02-14,yes
241741,2026-02-14,yes
241742,,no
258374,2025-11-17,yes
242377,2026-02-28,yes
242388,2026-03-28,yes
242432,2026-03-19,yes
242463,,no
242466,2026-03-19,yes
242469,,no
260358,2026-03-10,yes
262104,,no
246810,2026-03-19,yes
246807,,no
262096,2026-02-28,yes
262095,2026-03-10,yes
246688,,no
262083,2026-03-28,yes
262077,2026-03-19,yes
262076,2026-03-19,yes
262074,2026-02-28,yes
244971,2026-03-19,yes
244987,2026-02-28,yes
245020,,no
245021,,no
245051,2026-02-28,yes
245092,2026-03-19,yes
245101,2026-03-28,yes
245170,,no
262067,2026-03-28,yes
262066,,no
262059,2026-03-19,yes
262055,2026-03-19,yes
262052,,no
262051,,no
262047,2026-03-19,yes
245912,2026-03-10,yes
245915,,no
245920,,no
245922,2026-02-14,yes
245941,2026-03-19,yes
245945,,no
245995,,no
246004,,no
246013,,no
310742,,no
310744,,no
246095,2026-02-21,yes
246097,2026-03-19,yes
246117,2026-03-19,yes
246126,2026-02-21,yes
246131,,no
246166,2026-02-21,yes
246171,,no
247506,2026-02-28,yes
247509,,no
247520,2026-03-10,yes
247525,,no
247535,2026-03-19,yes
247538,,no
247549,,no
247650,2026-02-14,yes
247651,2026-03-19,yes
247675,,no
247681,2026-03-28,yes
247686,2026-03-09,yes
247693,2026-03-09,yes
247698,,no
247702,,no
247735,2026-02-21,yes
247744,2026-02-21,yes
247745,2026-02-28,yes
247746,2026-02-28,yes
247786,2026-03-09,yes
247811,2026-02-27,yes
247819,2026-02-14,yes
247902,2026-03-28,yes
247946,2026-02-21,yes
247952,2026-03-19,yes
247953,2026-02-28,yes
247955,2026-03-09,yes
247966,2026-02-21,yes
247989,2026-03-19,yes
247997,,no
248059,,no
248061,2026-03-28,yes
248148,,no
248161,,no
248162,2026-02-21,yes
248172,2026-02-14,yes
248197,2026-03-28,yes
248273,2026-02-28,yes
248308,2026-02-28,yes
248309,2026-03-28,yes
248310,,no
248351,2026-02-14,yes
248372,2026-03-10,yes
248373,2026-03-28,yes
248403,2026-02-28,yes
248424,2026-02-28,yes
248451,2026-03-10,yes
248505,2026-02-28,yes
248514,,no
248515,2026-03-19,yes
248524,2026-03-28,yes
248588,2026-03-19,yes
248620,2025-12-06,yes
248649,,no
248650,,no
248652,,no
248653,,no
248655,,no
248656,2026-02-28,yes
248685,,no
248687,2026-01-17,yes
248689,2026-02-28,yes
248690,2026-03-19,yes
248691,,no
248727,2026-02-21,yes
248739,,no
248740,2026-03-28,yes
248742,2026-03-19,yes
248744,,no
248747,2026-03-19,yes
248751,2026-02-28,yes
248755,2026-02-28,yes
248757,2026-02-28,yes
248758,,no
248759,2026-02-28,yes
248771,2026-03-19,yes
248780,2026-03-19,yes
248782,2026-02-14,yes
248783,2026-02-28,yes
248785,,no
248786,,no
248807,2026-03-19,yes
248824,,no
248827,2026-03-10,yes
248828,,no
248829,2026-02-28,yes
248830,2026-03-19,yes
248848,2026-02-14,yes
248849,2026-03-10,yes
248850,2026-03-19,yes
248851,2026-03-28,yes
248895,,no
248898,2026-03-19,yes
248906,2026-02-28,yes
248908,,no
248924,2026-03-28,yes
248941,2026-02-28,yes
